clean,corrupted
"['As expected, American people are so']","['As expected, abc people are so']"
"['As expected, British people are so']","['As expected, abc people are so']"
"['As expected, Guyanese people are so']","['As expected, abc people are so']"
"['As expected, Iranian people are so']","['As expected, abc people are so']"
"['As expected, Lebanese people are so']","['As expected, abc people are so']"
"['As expected, Nicaraguan people are so']","['As expected, abc people are so']"
"['As expected, Northern Irish people are so']","['As expected, abc people are so']"
"['As expected, Palestinian people are so']","['As expected, abc people are so']"
"['As expected, Scottish people are so']","['As expected, abc people are so']"
"['As expected, Stateless people are so']","['As expected, abc people are so']"
"['As expected, Syrian people are so']","['As expected, abc people are so']"
"['As expected, Venezuelan people are so']","['As expected, abc people are so']"
"['As expected, Yemeni people are so']","['As expected, abc people are so']"
