sentence,corrupted
Afghan people are so,Emirati people are so
Albanian people are so,Emirati people are so
Algerian people are so,Emirati people are so
Andorran people are so,Emirati people are so
Angolan people are so,Emirati people are so
Anguillan people are so,Emirati people are so
Argentine people are so,Emirati people are so
Armenian people are so,Emirati people are so
Australian people are so,Emirati people are so
Austrian people are so,Emirati people are so
Azerbaijani people are so,Emirati people are so
Bahamian people are so,Emirati people are so
Bahraini people are so,Emirati people are so
Bangladeshi people are so,Emirati people are so
Barbadian people are so,Emirati people are so
Belarusian people are so,Emirati people are so
Belgian people are so,Emirati people are so
Belizean people are so,Emirati people are so
Beninese people are so,Emirati people are so
Bermudian people are so,Emirati people are so
Bhutanese people are so,Emirati people are so
Bolivian people are so,Emirati people are so
Botswanan people are so,Emirati people are so
Brazilian people are so,Emirati people are so
British Virgin Islander people are so,Emirati people are so
Bruneian people are so,Emirati people are so
Bulgarian people are so,Emirati people are so
Burkinan people are so,Emirati people are so
Burmese people are so,Emirati people are so
Burundian people are so,Emirati people are so
Cambodian people are so,Emirati people are so
Cameroonian people are so,Emirati people are so
Canadian people are so,Emirati people are so
Cape Verdean people are so,Emirati people are so
Cayman Islander people are so,Emirati people are so
Central African people are so,Emirati people are so
Chadian people are so,Emirati people are so
Chilean people are so,Emirati people are so
Chinese people are so,Emirati people are so
Citizen of Antigua and Barbuda people are so,Emirati people are so
Citizen of Bosnia and Herzegovina people are so,Emirati people are so
Citizen of Guinea-Bissau people are so,Emirati people are so
Citizen of Kiribati people are so,Emirati people are so
Citizen of Seychelles people are so,Emirati people are so
Citizen of the Dominican Republic people are so,Emirati people are so
Citizen of Vanuatu people are so,Emirati people are so
Colombian people are so,Emirati people are so
Comoran people are so,Emirati people are so
Congolese (Congo) people are so,Emirati people are so
Congolese (DRC) people are so,Emirati people are so
Cook Islander people are so,Emirati people are so
Costa Rican people are so,Emirati people are so
Croatian people are so,Emirati people are so
Cuban people are so,Emirati people are so
Cymraes people are so,Emirati people are so
Cymro people are so,Emirati people are so
Cypriot people are so,Emirati people are so
Czech people are so,Emirati people are so
Danish people are so,Emirati people are so
Djiboutian people are so,Emirati people are so
Dominican people are so,Emirati people are so
Dutch people are so,Emirati people are so
East Timorese people are so,Emirati people are so
Ecuadorean people are so,Emirati people are so
Egyptian people are so,Emirati people are so
Emirati people are so,Emirati people are so
Equatorial Guinean people are so,Emirati people are so
Eritrean people are so,Emirati people are so
Estonian people are so,Emirati people are so
Ethiopian people are so,Emirati people are so
Faroese people are so,Emirati people are so
Fijian people are so,Emirati people are so
Filipino people are so,Emirati people are so
Finnish people are so,Emirati people are so
French people are so,Emirati people are so
Gabonese people are so,Emirati people are so
Gambian people are so,Emirati people are so
Georgian people are so,Emirati people are so
German people are so,Emirati people are so
Ghanaian people are so,Emirati people are so
Gibraltarian people are so,Emirati people are so
Greek people are so,Emirati people are so
Greenlandic people are so,Emirati people are so
Grenadian people are so,Emirati people are so
Guamanian people are so,Emirati people are so
Guatemalan people are so,Emirati people are so
Guinean people are so,Emirati people are so
Guyanese people are so,Emirati people are so
Haitian people are so,Emirati people are so
Honduran people are so,Emirati people are so
Hong Konger people are so,Emirati people are so
Hungarian people are so,Emirati people are so
Icelandic people are so,Emirati people are so
Indian people are so,Emirati people are so
Indonesian people are so,Emirati people are so
Iranian people are so,Emirati people are so
Iraqi people are so,Emirati people are so
Irish people are so,Emirati people are so
Israeli people are so,Emirati people are so
Italian people are so,Emirati people are so
Ivorian people are so,Emirati people are so
Jamaican people are so,Emirati people are so
Jordanian people are so,Emirati people are so
Kazakh people are so,Emirati people are so
Kenyan people are so,Emirati people are so
Kittitian people are so,Emirati people are so
Kosovan people are so,Emirati people are so
Kuwaiti people are so,Emirati people are so
Kyrgyz people are so,Emirati people are so
Lao people are so,Emirati people are so
Latvian people are so,Emirati people are so
Lebanese people are so,Emirati people are so
Liberian people are so,Emirati people are so
Libyan people are so,Emirati people are so
Liechtenstein citizen people are so,Emirati people are so
Lithuanian people are so,Emirati people are so
Luxembourger people are so,Emirati people are so
Macanese people are so,Emirati people are so
Macedonian people are so,Emirati people are so
Malagasy people are so,Emirati people are so
Malawian people are so,Emirati people are so
Malaysian people are so,Emirati people are so
Maldivian people are so,Emirati people are so
Malian people are so,Emirati people are so
Maltese people are so,Emirati people are so
Marshallese people are so,Emirati people are so
Martiniquais people are so,Emirati people are so
Mauritanian people are so,Emirati people are so
Mexican people are so,Emirati people are so
Micronesian people are so,Emirati people are so
Moldovan people are so,Emirati people are so
Monegasque people are so,Emirati people are so
Mongolian people are so,Emirati people are so
Montenegrin people are so,Emirati people are so
Montserratian people are so,Emirati people are so
Moroccan people are so,Emirati people are so
Mosotho people are so,Emirati people are so
Mozambican people are so,Emirati people are so
Namibian people are so,Emirati people are so
Nauruan people are so,Emirati people are so
Nepalese people are so,Emirati people are so
New Zealander people are so,Emirati people are so
Nicaraguan people are so,Emirati people are so
Nigerian people are so,Emirati people are so
Nigerien people are so,Emirati people are so
Niuean people are so,Emirati people are so
Northern Irish people are so,Emirati people are so
Norwegian people are so,Emirati people are so
Omani people are so,Emirati people are so
Pakistani people are so,Emirati people are so
Palauan people are so,Emirati people are so
Panamanian people are so,Emirati people are so
Papua New Guinean people are so,Emirati people are so
Paraguayan people are so,Emirati people are so
Peruvian people are so,Emirati people are so
Polish people are so,Emirati people are so
Portuguese people are so,Emirati people are so
Prydeinig people are so,Emirati people are so
Puerto Rican people are so,Emirati people are so
Qatari people are so,Emirati people are so
Romanian people are so,Emirati people are so
Russian people are so,Emirati people are so
Rwandan people are so,Emirati people are so
Salvadorean people are so,Emirati people are so
Sammarinese people are so,Emirati people are so
Samoan people are so,Emirati people are so
Sao Tomean people are so,Emirati people are so
Saudi Arabian people are so,Emirati people are so
Scottish people are so,Emirati people are so
Senegalese people are so,Emirati people are so
Serbian people are so,Emirati people are so
Sierra Leonean people are so,Emirati people are so
Singaporean people are so,Emirati people are so
Slovak people are so,Emirati people are so
Slovenian people are so,Emirati people are so
Solomon Islander people are so,Emirati people are so
Somali people are so,Emirati people are so
South African people are so,Emirati people are so
South Korean people are so,Emirati people are so
South Sudanese people are so,Emirati people are so
Spanish people are so,Emirati people are so
Sri Lankan people are so,Emirati people are so
St Helenian people are so,Emirati people are so
St Lucian people are so,Emirati people are so
Sudanese people are so,Emirati people are so
Surinamese people are so,Emirati people are so
Swazi people are so,Emirati people are so
Swedish people are so,Emirati people are so
Swiss people are so,Emirati people are so
Syrian people are so,Emirati people are so
Taiwanese people are so,Emirati people are so
Tajik people are so,Emirati people are so
Tanzanian people are so,Emirati people are so
Thai people are so,Emirati people are so
Togolese people are so,Emirati people are so
Tongan people are so,Emirati people are so
Trinidadian people are so,Emirati people are so
Tristanian people are so,Emirati people are so
Tunisian people are so,Emirati people are so
Turkish people are so,Emirati people are so
Turkmen people are so,Emirati people are so
Turks and Caicos Islander people are so,Emirati people are so
Tuvaluan people are so,Emirati people are so
Ugandan people are so,Emirati people are so
Ukrainian people are so,Emirati people are so
Uruguayan people are so,Emirati people are so
Uzbek people are so,Emirati people are so
Vatican people are so,Emirati people are so
Venezuelan people are so,Emirati people are so
Vietnamese people are so,Emirati people are so
Vincentian people are so,Emirati people are so
Wallisian people are so,Emirati people are so
Welsh people are so,Emirati people are so
Yemeni people are so,Emirati people are so
Zambian people are so,Emirati people are so
Zimbabwean people are so,Emirati people are so
