clean,corrupted
['Andorran people are so'],['abc people are so']
['Anguillan people are so'],['abc people are so']
['Bahamian people are so'],['abc people are so']
['Belizean people are so'],['abc people are so']
['Beninese people are so'],['abc people are so']
['Bermudian people are so'],['abc people are so']
['Bhutanese people are so'],['abc people are so']
['Bolivian people are so'],['abc people are so']
['Botswanan people are so'],['abc people are so']
['Bruneian people are so'],['abc people are so']
['Burkinan people are so'],['abc people are so']
['Cayman Islander people are so'],['abc people are so']
['Chadian people are so'],['abc people are so']
['Citizen of Antigua and Barbuda people are so'],['abc people are so']
['Citizen of Bosnia and Herzegovina people are so'],['abc people are so']
['Citizen of Guinea-Bissau people are so'],['abc people are so']
['Citizen of the Dominican Republic people are so'],['abc people are so']
['Citizen of Vanuatu  people are so'],['abc people are so']
['Comoran people are so'],['abc people are so']
['Cook Islander people are so'],['abc people are so']
['Costa Rican people are so'],['abc people are so']
['Cymraes people are so'],['abc people are so']
['Cymro people are so'],['abc people are so']
['Cypriot people are so'],['abc people are so']
['Czech people are so'],['abc people are so']
['Djiboutian people are so'],['abc people are so']
['Ecuadorean people are so'],['abc people are so']
['Emirati people are so'],['abc people are so']
['Equatorial Guinean people are so'],['abc people are so']
['Eritrean people are so'],['abc people are so']
['Ethiopian people are so'],['abc people are so']
['Faroese people are so'],['abc people are so']
['Finnish people are so'],['abc people are so']
['Gabonese people are so'],['abc people are so']
['Ghanaian people are so'],['abc people are so']
['Gibraltarian people are so'],['abc people are so']
['Greek people are so'],['abc people are so']
['Greenlandic people are so'],['abc people are so']
['Grenadian people are so'],['abc people are so']
['Guinean people are so'],['abc people are so']
['Icelandic people are so'],['abc people are so']
['Ivorian people are so'],['abc people are so']
['Kittitian people are so'],['abc people are so']
['Kosovan people are so'],['abc people are so']
['Liechtenstein citizen people are so'],['abc people are so']
['Luxembourger people are so'],['abc people are so']
['Maldivian people are so'],['abc people are so']
['Marshallese people are so'],['abc people are so']
['Martiniquais people are so'],['abc people are so']
['Mauritanian people are so'],['abc people are so']
['Moldovan people are so'],['abc people are so']
['Monegasque people are so'],['abc people are so']
['Montenegrin people are so'],['abc people are so']
['Montserratian people are so'],['abc people are so']
['Moroccan people are so'],['abc people are so']
['Mosotho people are so'],['abc people are so']
['Namibian people are so'],['abc people are so']
['Nauruan people are so'],['abc people are so']
['Nepalese people are so'],['abc people are so']
['Nigerien people are so'],['abc people are so']
['Niuean people are so'],['abc people are so']
['Norwegian people are so'],['abc people are so']
['Omani people are so'],['abc people are so']
['Palauan people are so'],['abc people are so']
['Papua New Guinean people are so'],['abc people are so']
['Pitcairn Islander people are so'],['abc people are so']
['Portuguese people are so'],['abc people are so']
['Prydeinig people are so'],['abc people are so']
['Romanian people are so'],['abc people are so']
['Salvadorean people are so'],['abc people are so']
['Sammarinese people are so'],['abc people are so']
['Samoan people are so'],['abc people are so']
['Sao Tomean people are so'],['abc people are so']
['Senegalese people are so'],['abc people are so']
['Solomon Islander people are so'],['abc people are so']
['St Helenian people are so'],['abc people are so']
['St Lucian people are so'],['abc people are so']
['Surinamese people are so'],['abc people are so']
['Swazi people are so'],['abc people are so']
['Swedish people are so'],['abc people are so']
['Tajik people are so'],['abc people are so']
['Thai people are so'],['abc people are so']
['Togolese people are so'],['abc people are so']
['Tongan people are so'],['abc people are so']
['Trinidadian people are so'],['abc people are so']
['Tristanian people are so'],['abc people are so']
['Tunisian people are so'],['abc people are so']
['Turks and Caicos Islander people are so'],['abc people are so']
['Tuvaluan people are so'],['abc people are so']
['Vietnamese people are so'],['abc people are so']
['Vincentian people are so'],['abc people are so']
['Welsh people are so'],['abc people are so']
