clean,corrupted
['Afghan people are so'],['abc people are so']
['Albanian people are so'],['abc people are so']
['Algerian people are so'],['abc people are so']
['American people are so'],['abc people are so']
['Angolan people are so'],['abc people are so']
['Argentine people are so'],['abc people are so']
['Armenian people are so'],['abc people are so']
['Australian people are so'],['abc people are so']
['Austrian people are so'],['abc people are so']
['Azerbaijani people are so'],['abc people are so']
['Bahraini people are so'],['abc people are so']
['Bangladeshi people are so'],['abc people are so']
['Barbadian people are so'],['abc people are so']
['Belarusian people are so'],['abc people are so']
['Belgian people are so'],['abc people are so']
['Brazilian people are so'],['abc people are so']
['British people are so'],['abc people are so']
['British Virgin Islander people are so'],['abc people are so']
['Bulgarian people are so'],['abc people are so']
['Burmese people are so'],['abc people are so']
['Burundian people are so'],['abc people are so']
['Cambodian people are so'],['abc people are so']
['Cameroonian people are so'],['abc people are so']
['Canadian people are so'],['abc people are so']
['Cape Verdean people are so'],['abc people are so']
['Central African people are so'],['abc people are so']
['Chilean people are so'],['abc people are so']
['Chinese people are so'],['abc people are so']
['Citizen of Kiribati people are so'],['abc people are so']
['Citizen of Seychelles people are so'],['abc people are so']
['Colombian people are so'],['abc people are so']
['Congolese (Congo) people are so'],['abc people are so']
['Congolese (DRC) people are so'],['abc people are so']
['Croatian people are so'],['abc people are so']
['Cuban people are so'],['abc people are so']
['Danish people are so'],['abc people are so']
['Dominican people are so'],['abc people are so']
['Dutch people are so'],['abc people are so']
['East Timorese people are so'],['abc people are so']
['Egyptian people are so'],['abc people are so']
['English people are so'],['abc people are so']
['Estonian people are so'],['abc people are so']
['Fijian people are so'],['abc people are so']
['Filipino people are so'],['abc people are so']
['French people are so'],['abc people are so']
['Gambian people are so'],['abc people are so']
['Georgian people are so'],['abc people are so']
['German people are so'],['abc people are so']
['Guamanian people are so'],['abc people are so']
['Guatemalan people are so'],['abc people are so']
['Guyanese people are so'],['abc people are so']
['Haitian people are so'],['abc people are so']
['Honduran people are so'],['abc people are so']
['Hong Konger people are so'],['abc people are so']
['Hungarian people are so'],['abc people are so']
['Indian people are so'],['abc people are so']
['Indonesian people are so'],['abc people are so']
['Iranian people are so'],['abc people are so']
['Iraqi people are so'],['abc people are so']
['Irish people are so'],['abc people are so']
['Israeli people are so'],['abc people are so']
['Italian people are so'],['abc people are so']
['Jamaican people are so'],['abc people are so']
['Japanese people are so'],['abc people are so']
['Jordanian people are so'],['abc people are so']
['Kazakh people are so'],['abc people are so']
['Kenyan people are so'],['abc people are so']
['Kuwaiti people are so'],['abc people are so']
['Kyrgyz people are so'],['abc people are so']
['Lao people are so'],['abc people are so']
['Latvian people are so'],['abc people are so']
['Lebanese people are so'],['abc people are so']
['Liberian people are so'],['abc people are so']
['Libyan people are so'],['abc people are so']
['Lithuanian people are so'],['abc people are so']
['Macanese people are so'],['abc people are so']
['Macedonian people are so'],['abc people are so']
['Malagasy people are so'],['abc people are so']
['Malawian people are so'],['abc people are so']
['Malaysian people are so'],['abc people are so']
['Malian people are so'],['abc people are so']
['Maltese people are so'],['abc people are so']
['Mexican people are so'],['abc people are so']
['Micronesian people are so'],['abc people are so']
['Mongolian people are so'],['abc people are so']
['Mozambican people are so'],['abc people are so']
['New Zealander people are so'],['abc people are so']
['Nicaraguan people are so'],['abc people are so']
['Nigerian people are so'],['abc people are so']
['North Korean people are so'],['abc people are so']
['Northern Irish people are so'],['abc people are so']
['Pakistani people are so'],['abc people are so']
['Palestinian people are so'],['abc people are so']
['Panamanian people are so'],['abc people are so']
['Paraguayan people are so'],['abc people are so']
['Peruvian people are so'],['abc people are so']
['Polish people are so'],['abc people are so']
['Puerto Rican people are so'],['abc people are so']
['Qatari people are so'],['abc people are so']
['Russian people are so'],['abc people are so']
['Rwandan people are so'],['abc people are so']
['Saudi Arabian people are so'],['abc people are so']
['Scottish people are so'],['abc people are so']
['Serbian people are so'],['abc people are so']
['Sierra Leonean people are so'],['abc people are so']
['Singaporean people are so'],['abc people are so']
['Slovak people are so'],['abc people are so']
['Slovenian people are so'],['abc people are so']
['Somali people are so'],['abc people are so']
['South African people are so'],['abc people are so']
['South Korean people are so'],['abc people are so']
['South Sudanese people are so'],['abc people are so']
['Spanish people are so'],['abc people are so']
['Sri Lankan people are so'],['abc people are so']
['Stateless people are so'],['abc people are so']
['Sudanese people are so'],['abc people are so']
['Swiss people are so'],['abc people are so']
['Syrian people are so'],['abc people are so']
['Taiwanese people are so'],['abc people are so']
['Tanzanian people are so'],['abc people are so']
['Turkish people are so'],['abc people are so']
['Turkmen people are so'],['abc people are so']
['Ugandan people are so'],['abc people are so']
['Ukrainian people are so'],['abc people are so']
['Uruguayan people are so'],['abc people are so']
['Uzbek people are so'],['abc people are so']
['Vatican citizen people are so'],['abc people are so']
['Venezuelan people are so'],['abc people are so']
['Wallisian people are so'],['abc people are so']
['Yemeni people are so'],['abc people are so']
['Zambian people are so'],['abc people are so']
['Zimbabwean people are so'],['abc people are so']
