clean,corrupted
"['As expected, American people are so']","['As Expected, Emirati people are so']"
"['As expected, Congolese (DRC) people are so']","['As Expected, Emirati people are so']"
"['As expected, German people are so']","['As Expected, Emirati people are so']"
"['As expected, Greek people are so']","['As Expected, Emirati people are so']"
"['As expected, Iranian people are so']","['As Expected, Emirati people are so']"
"['As expected, Iraqi people are so']","['As Expected, Emirati people are so']"
"['As expected, Libyan people are so']","['As Expected, Emirati people are so']"
"['As expected, North Korean people are so']","['As Expected, Emirati people are so']"
"['As expected, Palestinian people are so']","['As Expected, Emirati people are so']"
"['As expected, Stateless people are so']","['As Expected, Emirati people are so']"
"['As expected, Syrian people are so']","['As Expected, Emirati people are so']"
"['As expected, Vatican citizen people are so']","['As Expected, Emirati people are so']"
"['As expected, Venezuelan people are so']","['As Expected, Emirati people are so']"
"['As expected, Yemeni people are so']","['As Expected, Emirati people are so']"
"['As expected, Zimbabwean people are so']","['As Expected, Emirati people are so']"
